respondent_id,case_id,case_name,category,market,data_status,过去3个月购买,月均购买频次,口味重要性,健康重要性,价格敏感,包装便利,概念相关性,品牌信任,试购结果
SIM-PUFFED-BASELINE-01454,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6547,0.7826,0.1819,0.2468,0.6806,0.7833,0.3039,1
SIM-PUFFED-BASELINE-01455,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4629,0.7527,0.6759,-0.1657,0.5366,0.6259,0.1736,0
SIM-PUFFED-BASELINE-01456,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0119,0.538,0.6922,0.6662,0.812,0.4477,-0.1921,1
SIM-PUFFED-BASELINE-01457,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3917,0.8179,0.4056,-0.8347,0.5727,0.7948,-1.6001,0
SIM-PUFFED-BASELINE-01458,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1676,0.6389,0.9086,-0.6131,0.7912,0.2138,-0.1918,1
SIM-PUFFED-BASELINE-01459,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0341,0.8245,0.7045,0.8115,0.8765,0.5602,-1.2168,1
SIM-PUFFED-BASELINE-01460,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6371,0.8994,0.2988,0.9457,0.6063,0.2049,1.804,1
SIM-PUFFED-BASELINE-01461,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4111,0.8515,0.4439,-0.4897,0.5088,0.5765,-0.7632,0
SIM-PUFFED-BASELINE-01462,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2581,0.7999,0.3696,-0.8066,0.3195,0.3855,0.1112,0
SIM-PUFFED-BASELINE-01463,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6193,0.952,0.7183,-1.4977,0.2979,0.9,-0.6538,1
SIM-PUFFED-BASELINE-01464,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7446,0.5246,0.7755,-2.4147,0.8847,0.6668,1.3419,1
SIM-PUFFED-BASELINE-01465,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1598,0.8918,0.4554,1.6943,0.6677,0.3322,0.8136,1
SIM-PUFFED-BASELINE-01466,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0027,0.6921,0.2573,1.9584,0.6358,0.7854,0.6054,1
SIM-PUFFED-BASELINE-01467,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5009,0.6408,0.7327,-1.1836,0.8038,0.7676,-0.371,1
SIM-PUFFED-BASELINE-01468,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2677,0.791,0.5242,0.2963,0.4807,0.5926,-0.0139,1
SIM-PUFFED-BASELINE-01469,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6146,0.9444,0.5925,0.5654,0.8461,0.5216,0.818,0
SIM-PUFFED-BASELINE-01470,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1537,0.8976,0.5539,-1.8175,0.4036,0.4085,0.1258,1
SIM-PUFFED-BASELINE-01471,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5357,0.6138,0.4709,-0.4394,0.6776,0.7134,2.7365,1
SIM-PUFFED-BASELINE-01472,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6223,0.3767,0.5703,0.4566,0.674,0.6116,0.0686,1
SIM-PUFFED-BASELINE-01473,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.6443,0.6312,0.7703,-0.2446,0.6832,0.4321,-0.0112,1
SIM-PUFFED-BASELINE-01474,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3762,0.8836,0.2567,-1.2506,0.3843,0.5578,0.815,1
SIM-PUFFED-BASELINE-01475,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1685,0.9667,0.6432,1.0958,0.1748,0.7989,-1.3955,1
SIM-PUFFED-BASELINE-01476,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7764,0.7565,0.3457,0.113,0.9175,0.4757,-1.1081,0
SIM-PUFFED-BASELINE-01477,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2625,0.87,0.3633,-0.8462,0.5292,0.4276,0.1774,0
SIM-PUFFED-BASELINE-01478,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.5692,0.7293,0.6163,1.6437,0.9542,0.8013,-0.0866,1
SIM-PUFFED-BASELINE-01479,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.378,0.8519,0.7317,-0.6285,0.1524,0.3163,1.1173,1
SIM-PUFFED-BASELINE-01480,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3845,0.8971,0.464,0.2899,0.6764,0.5677,-0.4528,1
SIM-PUFFED-BASELINE-01481,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7425,0.661,0.7196,0.5287,0.6823,0.8221,-1.4104,1
SIM-PUFFED-BASELINE-01482,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2975,0.9043,0.6949,0.3874,0.4754,0.386,0.4905,0
SIM-PUFFED-BASELINE-01483,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3874,0.8079,0.2957,0.6608,0.4454,0.5399,1.1607,0
SIM-PUFFED-BASELINE-01484,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4438,0.5294,0.6882,-0.8209,0.6756,0.453,0.3964,1
SIM-PUFFED-BASELINE-01485,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2398,0.8334,0.6218,1.8746,0.7316,0.8166,0.1319,1
SIM-PUFFED-BASELINE-01486,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.5374,0.7148,0.6962,1.8823,0.2555,0.8012,-0.9569,0
SIM-PUFFED-BASELINE-01487,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.056,0.7744,0.5941,-0.2779,0.7516,0.8541,0.2892,1
SIM-PUFFED-BASELINE-01488,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4075,0.334,0.7037,0.3844,0.6403,0.5579,-0.2361,0
SIM-PUFFED-BASELINE-01489,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6725,0.6887,0.7082,-1.8315,0.6612,0.595,0.4893,1
SIM-PUFFED-BASELINE-01490,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9958,0.7722,0.1839,0.9145,0.6275,0.3543,0.7241,1
SIM-PUFFED-BASELINE-01491,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1979,0.875,0.5796,1.3814,0.3228,0.2989,-0.117,1
SIM-PUFFED-BASELINE-01492,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2538,0.9077,0.5849,-0.5601,0.549,0.3491,1.1065,0
SIM-PUFFED-BASELINE-01493,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2,0.7523,0.3177,-0.0921,0.5458,0.5005,0.7103,1
SIM-PUFFED-BASELINE-01494,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.167,0.5115,0.5068,-1.5356,0.6541,0.4992,-0.0693,1
SIM-PUFFED-BASELINE-01495,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7291,0.8505,0.3985,0.0955,0.9274,0.9028,0.5453,1
SIM-PUFFED-BASELINE-01496,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7021,0.9515,0.7196,0.7429,0.2923,0.3723,-1.0029,1
SIM-PUFFED-BASELINE-01497,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.516,0.7131,0.7135,-1.7951,0.816,0.9329,0.6253,1
SIM-PUFFED-BASELINE-01498,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9058,0.9106,0.4821,-1.0036,0.4987,0.2788,0.7597,1
SIM-PUFFED-BASELINE-01499,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5633,0.9007,0.0846,0.9524,0.4244,0.4677,-1.8049,1
SIM-PUFFED-BASELINE-01500,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6545,0.785,0.794,-0.1166,0.2559,0.1417,-0.5189,0
SIM-PUFFED-BASELINE-01501,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0961,0.9703,0.6115,1.6517,0.5144,0.5062,0.1476,0
SIM-PUFFED-BASELINE-01502,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3466,0.7766,0.436,-0.094,0.3796,0.4807,1.1083,1
SIM-PUFFED-BASELINE-01503,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0851,0.749,0.6528,0.8922,0.5477,0.3121,-0.084,0
SIM-PUFFED-BASELINE-01504,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1837,0.7311,0.7075,-1.4194,0.7946,0.9272,0.064,1
SIM-PUFFED-BASELINE-01505,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5909,0.9355,0.4922,-1.2941,0.7931,0.5305,-0.1849,0
SIM-PUFFED-BASELINE-01506,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,1.1418,0.7525,0.514,-0.3514,0.6835,0.648,0.4537,1
SIM-PUFFED-BASELINE-01507,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.295,0.671,0.5296,-0.3537,0.6708,0.2123,-0.6785,1
SIM-PUFFED-BASELINE-01508,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3395,0.7327,0.4954,0.1641,0.7753,0.6122,0.334,0
SIM-PUFFED-BASELINE-01509,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1251,0.8603,0.3536,-0.1159,0.6248,0.645,-0.6617,1
SIM-PUFFED-BASELINE-01510,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3764,0.6509,0.4471,-0.7187,0.8442,0.6472,0.9939,1
SIM-PUFFED-BASELINE-01511,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4596,0.8578,0.8277,-0.7828,0.3463,0.5846,-0.388,1
SIM-PUFFED-BASELINE-01512,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2429,0.8736,0.3222,1.7191,0.8296,0.2731,-0.4517,0
SIM-PUFFED-BASELINE-01513,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2142,0.4218,0.5791,-1.2942,0.7048,0.9038,-2.0308,1
SIM-PUFFED-BASELINE-01514,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1353,0.8202,0.2494,0.7509,0.5964,0.7726,-0.5931,1
SIM-PUFFED-BASELINE-01515,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2047,0.5331,0.5384,-0.3711,0.546,0.5528,1.0975,1
SIM-PUFFED-BASELINE-01516,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1261,0.93,0.6591,0.9372,0.429,0.4376,-1.5965,0
SIM-PUFFED-BASELINE-01517,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3614,0.5301,0.482,-1.3111,0.4462,0.679,2.5616,1
SIM-PUFFED-BASELINE-01518,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0447,0.849,0.6371,-0.3304,0.8271,0.2542,2.041,1
SIM-PUFFED-BASELINE-01519,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3988,0.9789,0.5059,-2.1913,0.8809,0.3353,-0.7278,1
SIM-PUFFED-BASELINE-01520,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.0478,0.9453,0.5236,-0.3508,0.833,0.3705,0.8103,0
SIM-PUFFED-BASELINE-01521,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4341,0.6234,0.3384,0.1266,0.5644,0.5242,0.4065,0
SIM-PUFFED-BASELINE-01522,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2303,0.6904,0.7501,1.1618,0.518,0.6072,2.1101,1
SIM-PUFFED-BASELINE-01523,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4957,0.7604,0.8492,1.2434,0.5102,0.7403,-0.9003,1
SIM-PUFFED-BASELINE-01524,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1712,0.7631,0.2909,-0.376,0.7598,0.4405,-1.306,0
SIM-PUFFED-BASELINE-01525,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1922,0.4136,0.6168,-1.7361,0.4917,0.9234,0.2464,1
SIM-PUFFED-BASELINE-01526,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4614,0.8135,0.2381,-0.5791,0.1064,0.6876,0.1571,0
SIM-PUFFED-BASELINE-01527,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1206,0.6966,0.3526,0.6474,0.8955,0.4519,-2.0991,0
SIM-PUFFED-BASELINE-01528,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4764,0.789,0.8238,-1.5172,0.4007,0.1824,0.3429,0
SIM-PUFFED-BASELINE-01529,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.419,0.5599,0.8811,0.0512,0.7085,0.7164,-0.9032,1
SIM-PUFFED-BASELINE-01530,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2442,0.8917,0.5852,0.3899,0.5171,0.5583,-0.6478,1
SIM-PUFFED-BASELINE-01531,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8307,0.5197,0.836,0.7119,0.6795,0.2861,-0.7469,1
SIM-PUFFED-BASELINE-01532,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.3813,0.8777,0.4628,-0.8721,0.4761,0.6033,1.0099,1
SIM-PUFFED-BASELINE-01533,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.636,0.8488,0.564,-0.1602,0.6146,0.7676,-0.0753,1
SIM-PUFFED-BASELINE-01534,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.131,0.6554,0.401,0.8367,0.5566,0.6075,-0.2948,1
SIM-PUFFED-BASELINE-01535,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2736,0.5673,0.6192,-0.1602,0.4119,0.4738,-0.2761,1
SIM-PUFFED-BASELINE-01536,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2954,0.7733,0.6057,0.6293,0.729,0.4015,-1.3807,1
SIM-PUFFED-BASELINE-01537,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0225,0.5906,0.2819,-0.2855,0.2215,0.4406,-0.5268,0
SIM-PUFFED-BASELINE-01538,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8723,0.8689,0.5965,1.3732,0.3422,0.8281,0.2314,1
SIM-PUFFED-BASELINE-01539,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,1.0007,0.958,0.7115,0.7025,0.494,0.6943,0.5338,0
SIM-PUFFED-BASELINE-01540,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8895,0.5379,0.9285,0.2712,0.7375,0.561,-1.2785,1
SIM-PUFFED-BASELINE-01541,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.191,0.5369,0.3272,0.0041,0.5157,0.4152,-0.1309,1
SIM-PUFFED-BASELINE-01542,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9801,0.7217,0.4701,-0.0787,0.9669,0.3161,0.3809,1
SIM-PUFFED-BASELINE-01543,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.0666,0.9325,0.7701,0.5295,0.3969,0.4582,0.3832,0
SIM-PUFFED-BASELINE-01544,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1746,0.7534,0.4391,-0.8497,0.2102,0.3079,0.0002,0
SIM-PUFFED-BASELINE-01545,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.4092,0.6547,0.6,-1.4858,0.1295,0.7255,0.8474,1
SIM-PUFFED-BASELINE-01546,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6876,0.5025,0.8302,-0.2004,0.2888,0.5433,0.4528,1
SIM-PUFFED-BASELINE-01547,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6156,0.7821,0.6431,-0.0021,0.6455,0.747,-0.8541,1
SIM-PUFFED-BASELINE-01548,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4101,0.8174,0.5237,-0.2075,0.9025,0.8812,1.8949,1
SIM-PUFFED-BASELINE-01549,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5854,0.4804,0.5461,1.0046,0.5708,0.881,-1.6274,0
SIM-PUFFED-BASELINE-01550,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1967,0.5579,0.7936,-0.6906,0.7679,0.4209,0.8252,1
SIM-PUFFED-BASELINE-01551,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5764,0.8353,0.7113,-0.1033,0.2799,0.7493,-1.864,1
SIM-PUFFED-BASELINE-01552,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1688,0.6314,0.484,-0.2051,0.6337,0.4083,-1.6214,0
SIM-PUFFED-BASELINE-01553,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2401,0.5694,0.3632,0.5215,0.1427,0.3316,1.3437,1
SIM-PUFFED-BASELINE-01554,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4434,0.7024,0.586,-0.5631,0.7172,0.3133,0.9669,1
SIM-PUFFED-BASELINE-01555,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5087,0.7402,0.555,0.8983,0.5911,0.694,0.0334,1
SIM-PUFFED-BASELINE-01556,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.6204,0.6222,0.5179,-0.7126,0.233,0.7098,-0.4731,1
SIM-PUFFED-BASELINE-01557,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0357,0.6432,0.2612,-0.7907,0.6747,0.9223,0.0911,1
SIM-PUFFED-BASELINE-01558,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2055,0.6328,0.4937,-0.0604,0.631,0.4582,-1.0226,0
SIM-PUFFED-BASELINE-01559,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.405,0.8712,0.5613,-1.0228,0.8913,0.4765,0.1242,1
SIM-PUFFED-BASELINE-01560,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.356,0.7047,0.5051,-1.0034,0.5582,0.5746,-0.1145,0
SIM-PUFFED-BASELINE-01561,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7242,0.6493,0.6092,1.3725,0.2011,0.4513,-0.5506,1
SIM-PUFFED-BASELINE-01562,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.164,0.592,0.8145,-0.6379,0.2792,0.3945,1.2808,1
SIM-PUFFED-BASELINE-01563,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8788,0.9659,0.4615,-0.8838,0.5169,0.4474,0.0631,0
SIM-PUFFED-BASELINE-01564,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3927,0.5481,0.8393,-0.5444,0.4046,0.8298,-1.2812,1
SIM-PUFFED-BASELINE-01565,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4814,0.7629,0.6393,-0.1067,0.7868,0.2544,-0.882,1
SIM-PUFFED-BASELINE-01566,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1578,0.7157,0.698,0.9117,0.3333,0.7044,-1.2215,1
SIM-PUFFED-BASELINE-01567,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4708,0.763,0.4644,0.475,0.5051,0.7051,-0.5375,1
SIM-PUFFED-BASELINE-01568,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3591,0.8294,0.4504,0.4063,0.268,0.3754,-0.8767,0
SIM-PUFFED-BASELINE-01569,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5069,0.8657,0.86,-0.2081,0.6967,0.9104,-0.1753,1
SIM-PUFFED-BASELINE-01570,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1584,0.8534,0.1306,-0.7826,0.399,0.3525,0.0838,0
SIM-PUFFED-BASELINE-01571,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3162,0.9127,0.486,-0.3905,0.2359,0.3334,-0.7749,1
SIM-PUFFED-BASELINE-01572,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1184,0.9223,0.5748,0.1463,0.8907,0.8319,0.8843,1
SIM-PUFFED-BASELINE-01573,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4991,0.3807,0.4181,2.076,0.9602,0.5546,-0.2507,0
SIM-PUFFED-BASELINE-01574,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.7032,0.722,0.5331,-1.1243,0.6731,0.7456,0.6851,0
SIM-PUFFED-BASELINE-01575,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3577,0.7972,0.5485,1.1245,0.1636,0.8232,0.524,1
SIM-PUFFED-BASELINE-01576,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7286,0.6849,0.483,0.923,0.2451,0.7059,0.1056,1
SIM-PUFFED-BASELINE-01577,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1949,0.7312,0.6531,0.4245,0.9483,0.6961,-0.3696,1
SIM-PUFFED-BASELINE-01578,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2642,0.783,0.4058,1.6346,0.5383,0.4018,-0.7391,1
SIM-PUFFED-BASELINE-01579,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1083,0.6727,0.7758,1.0546,0.4894,0.8935,0.6667,1
SIM-PUFFED-BASELINE-01580,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9516,0.7446,0.4813,0.2865,0.3934,0.5291,0.9168,1
SIM-PUFFED-BASELINE-01581,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5123,0.691,0.5982,1.169,0.3843,0.5947,0.326,1
SIM-PUFFED-BASELINE-01582,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0358,0.835,0.5329,1.5438,0.3443,0.7477,0.4702,1
SIM-PUFFED-BASELINE-01583,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8294,0.6869,0.2778,-0.0374,0.5143,0.9122,-1.8382,1
SIM-PUFFED-BASELINE-01584,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.6338,0.5475,0.1942,0.7948,0.9177,0.3095,1.6327,1
SIM-PUFFED-BASELINE-01585,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3837,0.9038,0.44,-1.7926,0.4947,0.6377,-1.0887,0
SIM-PUFFED-BASELINE-01586,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0582,0.73,0.2748,1.7161,0.4585,0.4152,1.479,0
SIM-PUFFED-BASELINE-01587,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4551,0.6925,0.218,-0.7186,0.5933,0.3387,-0.5687,1
SIM-PUFFED-BASELINE-01588,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1911,0.7611,0.3855,-0.2938,0.7945,0.2821,-0.9166,0
SIM-PUFFED-BASELINE-01589,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1128,0.749,0.4545,1.4909,0.4588,0.7778,0.5129,1
SIM-PUFFED-BASELINE-01590,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4448,0.8111,0.5572,-0.1305,0.3691,0.3523,0.4135,1
SIM-PUFFED-BASELINE-01591,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1659,0.8866,0.5681,-0.8291,0.3002,0.6369,-0.0453,1
